kind,condition,perturb_class,marker,marker_fill,cell,target,axis,axis_family,value,ci_lo,ci_hi,n,ci_status,ci_registered_in_v9,note
cell_value,C-bottom,support,o,filled,qwen|occ_gender,qwen,occ_gender,templated,0.002066,,,,,,
cell_value,C-bottom,support,o,filled,qwen|ss_intra,qwen,ss_intra,StereoSet,0.000226,,,,,,
cell_value,C-bottom,support,o,filled,qwen7b|occ_gender,qwen7b,occ_gender,templated,0.001493,,,,,,
annotation,Delta_selection,,,,,,,,0.283550,0.169176,0.407212,10,excludes 0,True,paired cell bootstrap; registered v9 estimand
annotation,C-a minus C-rand,,,,,,,,0.068230,0.030005,0.111995,10,excludes 0,True,paired cell bootstrap; registered v9 estimand
annotation,Delta_tensor,,,,,,,,0.380877,0.248808,0.520096,7,excludes 0,True,paired cell bootstrap; registered v9 estimand
annotation,unanimity,,,,,,,,10,,,10,,True,cells with C-ref > C-a
annotation,C-a argmax at grid max,,,,,,,,27,,,30,,True,argmax counts per run at alpha=16; NOT budget-availability counts
annotation,coverage: targets,,,,,,,,5,,,10,,True,panel composition stated in the figure footnote; the denominator column is the cell count
annotation,coverage: axes,,,,,,,,4,,,10,,True,panel composition stated in the figure footnote; the denominator column is the cell count
annotation,coverage: benchmark families,,,,,,,,3,,,10,,True,panel composition stated in the figure footnote; the denominator column is the cell count
annotation,alpha grid maximum,,,,,,,,16.0,,,,,True,largest alpha in the frozen deployment grid
annotation,budget_fail_rows_zeroed,,,,,,,,0,,,285,,True,nan/None removal -> 0.0 convention; zero such rows here
annotation,C-ref mean on the C-tensorshuf cells,reference,,,,,,,0.426362,,,7,,False,cell-matched denominator for the n=7 condition; the artifact's share_of_C_ref for C-tensorshuf uses the 10-cell C-ref mean instead
annotation,C-tensorshuf mean excluding max cell,location,,,gemma|occ_gender,,,,0.000241,,,6,,False,mean over the cells other than the max cell; the cell column names the EXCLUDED max cell
