tier,tier_label,n_cells,series,target,target_label,sparsity,retained_fraction,value,ci_lo,ci_hi,ci_status,n,unit,gate,note
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.97,0.030000000000000027,-0.024651,-0.043817,-0.005485,excludes 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.99,0.010000000000000009,-0.009785,-0.033063,0.013492,covers 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.995,0.0050000000000000044,0.009050,0.007381,0.010719,excludes 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.999,0.0010000000000000009,-0.195764,-0.270508,-0.121020,excludes 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,,budget_fail_row_v9,llama,llama-8B,0.0,1.0,0.0,,,,1,removal (scored),v9,seed 2 — NOT a measurement; nan scored 0.0
big,7–9B,,budget_fail_row_v9,llama,llama-8B,0.5,0.5,0.0,,,,1,removal (scored),v9,seed 2 — NOT a measurement; nan scored 0.0
big,7–9B,,budget_fail_row_v9,llama,llama-8B,0.9,0.09999999999999998,0.0,,,,1,removal (scored),v9,seed 2 — NOT a measurement; nan scored 0.0
big,7–9B,,budget_fail_row_as_run_recovered_by_v9,llama,llama-8B,0.9,0.09999999999999998,0.0,,,,1,removal (scored),as-run,"seed 0 — failed the as-run float gate, PASSES under v9"
big,7–9B,,budget_fail_row_as_run_recovered_by_v9,llama,llama-8B,0.5,0.5,0.0,,,,1,removal (scored),as-run,"seed 1 — failed the as-run float gate, PASSES under v9"
big,7–9B,,budget_fail_row_as_run_recovered_by_v9,llama,llama-8B,0.95,0.050000000000000044,0.0,,,,1,removal (scored),as-run,"seed 2 — failed the as-run float gate, PASSES under v9"
big,7–9B,,budget_fail_row_as_run_recovered_by_v9,llama,llama-8B,0.97,0.030000000000000027,0.0,,,,1,removal (scored),as-run,"seed 2 — failed the as-run float gate, PASSES under v9"
big,7–9B,,annotation.n_budget_fail,,,,,3,,,,48,rows,v9,3 of 48 v9 rows are budget-fails (as-run: 7)
big,7–9B,2,annotation.cliff_level,,,0.999,0.0010000000000000009,-0.073999,-0.121020,-0.026978,excludes 0,2,removal delta,v9,negative and excludes 0 -> shaded as cliff
big,7–9B,,patch_payload_mib_axis_range,,,0.0,1.0,98.0002–160.0002,98.0002,160.0002,,2,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
big,7–9B,,patch_payload_mib_axis_range,,,0.9,0.09999999999999998,9.8002–16.0002,9.8002,16.0002,,2,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
big,7–9B,,patch_payload_mib_axis_range,,,0.99,0.010000000000000009,0.9802–1.6002,0.9802,1.6002,,2,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
big,7–9B,,patch_payload_mib_axis_range,,,0.999,0.0010000000000000009,0.0982–0.1602,0.0982,0.1602,,2,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.0,1.0,98.000214,98.000214,98.000214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.5,0.5,49.000211,49.000208,49.000213,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.9,0.09999999999999998,9.800212,9.800211,9.800214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.95,0.050000000000000044,4.900213,4.900213,4.900214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.97,0.030000000000000027,2.940213,2.940213,2.940214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.99,0.010000000000000009,0.980214,0.980213,0.980214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.995,0.0050000000000000044,0.490214,0.490214,0.490214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,qwen,qwen-7B,0.999,0.0010000000000000009,0.098214,0.098214,0.098214,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.0,1.0,160.000244,160.000244,160.000244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.5,0.5,80.000242,80.000240,80.000244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.9,0.09999999999999998,16.000243,16.000242,16.000243,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.95,0.050000000000000044,8.000243,8.000242,8.000243,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.97,0.030000000000000027,4.800244,4.800244,4.800244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.99,0.010000000000000009,1.600244,1.600244,1.600244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.995,0.0050000000000000044,0.800244,0.800244,0.800244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,,patch_payload_mib,llama,llama-8B,0.999,0.0010000000000000009,0.160244,0.160244,0.160244,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
big,7–9B,2,annotation.beats_dense_under_zeroing,,,0.95,0.050000000000000044,0.110669,0.015885,0.205452,excludes 0,2,removal delta,v9,"sensitivity (fails dropped): -0.0111 [-0.0381, +0.0159] (covers 0)"
big,7–9B,2,annotation.beats_dense_under_zeroing,,,0.99,0.010000000000000009,0.111980,0.013492,0.210468,excludes 0,2,removal delta,v9,"sensitivity (fails dropped): -0.0098 [-0.0331, +0.0135] (covers 0)"
big,7–9B,2,annotation.beats_dense_under_zeroing,,,0.995,0.0050000000000000044,0.130815,0.010719,0.250911,excludes 0,2,removal delta,v9,"sensitivity (fails dropped): +0.0090 [+0.0074, +0.0107] (excludes 0)"
big,7–9B,,annotation.dense_deployable_runs_v9,,,0.0,1.0,5,,,,6,runs passing the collateral budget,v9,refutes the draft's 'too disruptive to deploy at all'
big,7–9B,,annotation.fail_envelope_max_sparsity_v9,,,0.9,,0.9,,,,3,sparsity,v9,deepest sparsity at which a v9 budget-fail occurs
big,7–9B,,annotation.fail_envelope_max_sparsity_as_run,,,0.97,,0.97,,,,7,sparsity,as-run,the draft's 'dense through 97%' envelope — SUPERSEDED
big,7–9B,,annotation.fail_envelope_clean_from_v9,,,0.95,,0.95,,,,,sparsity,v9,every level at or beyond this sparsity is budget-clean under v9
,,,annotation.patch_1pct_payload_mib,,qwen-3B..llama-8B,0.99,0.01,0.4053–1.6002,0.4053,1.6002,,6,MiB (bytes/2**20),v9,the manuscript's '0.4-1.6 MB' callout; payload only
,,,annotation.patch_1pct_with_support_index_mib,,qwen-3B..llama-8B,0.99,0.01,3.6774–14.5271,3.6774,14.5271,,6,MiB (bytes/2**20),v9,payload + information-theoretic floor for naming the support
