cell,projection,C_ref,C_ref_without,drop,largest
gemma27b|occ_gender,q_proj,0.6673823499947094,0.6258613557377042,0.04152099425700517,False
gemma27b|occ_gender,k_proj,0.6673823499947094,0.565677982606914,0.10170436738779531,False
gemma27b|occ_gender,v_proj,0.6673823499947094,0.4262482625167834,0.24113408747792597,True
gemma27b|occ_gender,o_proj,0.6673823499947094,0.5584696924443853,0.10891265755032409,False
qwen32b|occ_gender,q_proj,0.5416444178748865,0.5393442299130571,0.002300187961829403,False
qwen32b|occ_gender,k_proj,0.5416444178748865,0.5314816899970192,0.010162727877867317,False
qwen32b|occ_gender,v_proj,0.5416444178748865,0.5145443671045322,0.027100050770354267,False
qwen32b|occ_gender,o_proj,0.5416444178748865,0.3078661710380153,0.2337782468368712,True
